user_id,payment_id,invoice_id,payment_amount,currency,payment_date,payment_method,reference,category,direction,counterparty_id,counterparty_type,exchange_rate_used,fees_amount
1,PAY-0D1BE335,INV-2025-0731-014,32000,PHP,31/7/25,Bank Transfer,Legal review by Manila Law Partners,Professional Services,OUT,SUP-0009,supplier,,
1,PAY-97D8DA4A,INV-2025-0801-015,2500,SGD,1/8/25,Bank Transfer,Training workshop for KL Fintech,Sales Revenue,IN,CUS-0008,customer,,
1,PAY-B06F024D,INV-2025-0802-016,100,SGD,2/8/25,Bank Transfer,Monthly broadband subscription,Internet Expenses,OUT,SUP-0010,supplier,,
1,PAY-ED764F42,INV-2025-0803-017,3500,MYR,3/8/25,Bank Transfer,Mobile app project for Johor Bahru Retailers,Sales Revenue,IN,CUS-0009,customer,,
1,PAY-F3ECA276,INV-2025-0804-018,500,SGD,4/8/25,Credit Card,Social media ads for Singapore market,Marketing Expenses,OUT,SUP-0011,supplier,,
1,PAY-B17B0CAE,INV-2025-0805-019,500,IDR,5/8/25,Bank Transfer,Consulting for Surabaya Startups,Sales Revenue,IN,CUS-0010,customer,,
1,PAY-4AF6390A,REC-2025-0806-020,600,SGD,6/8/25,Credit Card,Flight to Kuala Lumpur for client meeting,Travel Expenses,OUT,SUP-0012,supplier,,
1,PAY-A14B7353,INV-2025-0807-021,25000,THB,7/8/25,Bank Transfer,Web design for Chiang Mai Cafe,Sales Revenue,IN,CUS-0011,customer,,
1,PAY-2219966C,INV-2025-0808-022,320,SGD,8/8/25,Cash,Printer ink and paper,Office Supplies,OUT,SUP-0013,supplier,,
1,PAY-59F1686B,INV-2025-0809-023,2800,SGD,9/8/25,Bank Transfer,Annual subscription from Singapore client,Sales Revenue,IN,CUS-0012,customer,,
1,PAY-592A4813,INV-2025-0810-024,2200,MYR,10/8/25,Bank Transfer,Tax advisory from KL Tax Experts,Professional Services,OUT,SUP-0014,supplier,,
1,PAY-38A77B01,INV-2025-0811-025,42000,PHP,11/8/25,Bank Transfer,Software deployment for Cebu Tech,Sales Revenue,IN,CUS-0013,customer,,
1,PAY-3693DDFF,INV-2025-0812-026,200,SGD,12/8/25,Bank Transfer,Monthly water bill,Utilities,OUT,SUP-0007,supplier,,
1,PAY-4ADD947D,INV-2025-0813-027,3100,SGD,13/8/25,Bank Transfer,Cloud services for Penang Logistics,Sales Revenue,IN,CUS-0014,customer,,
1,PAY-AED3FF47,INV-2025-0814-028,800,SGD,14/8/25,Bank Transfer,New laptops for development team,Equipment Purchase,OUT,SUP-0015,supplier,,
1,PAY-BB5646E2,INV-2025-0815-029,15000000,IDR,15/8/25,Bank Transfer,ERP implementation for Bandung Manufacturing,Sales Revenue,IN,CUS-0015,customer,,
1,PAY-01DD230E,REC-2025-0816-759,1155,SGD,16/08/25,Bank Transfer,August office rent payment,Office Rent,OUT,SUP-019,supplier,,
1,PAY-0379FF83,REC-2025-0816-729,2094,MYR,16/08/25,Bank Transfer,Flight to KL for business,Travel Expenses,OUT,SUP-023,supplier,,
1,PAY-0398BC8A,REC-2025-0816-760,200,SGD,16/08/25,Bank Transfer,Monthly gas bill,Utilities,OUT,SUP-039,supplier,,
1,PAY-011FD291,INV-2025-0817-132,2160,SGD,17/08/25,Bank Transfer,Cloud services for Bangkok Retail,Sales Revenue,IN,CUS-018,customer,,
1,PAY-03F16C29,INV-2025-0818-613,1479,SGD,18/08/25,Bank Transfer,Website development for Penang Logistics,Sales Revenue,IN,CUS-050,customer,,
1,PAY-02FEAD16,INV-2025-0818-266,2942,SGD,18/08/25,Bank Transfer,Cloud services for Jakarta Fintech,Sales Revenue,IN,CUS-033,customer,,
1,PAY-01AA4123,INV-2025-0818-745,1345,SGD,18/08/25,Bank Transfer,Software license sold to KL Tech,Sales Revenue,IN,CUS-045,customer,,
1,PAY-048F0522,INV-2025-0819-904,39735,PHP,19/08/25,Bank Transfer,Consulting services for Johor Bahru Retailers,Sales Revenue,IN,CUS-036,customer,,
1,PAY-04048300,INV-2025-0820-533,23436,THB,20/08/25,Bank Transfer,Website development for Chiang Mai Cafe,Sales Revenue,IN,CUS-042,customer,,
1,PAY-033F2A6F,REC-2025-0820-182,500,SGD,20/08/25,Credit Card,Google Ads campaign for brand awareness,Marketing Expenses,OUT,SUP-045,supplier,,
1,PAY-00AA7DAA,INV-2025-0821-333,1528,SGD,21/08/25,Bank Transfer,Software license sold to Jakarta Retail,Sales Revenue,IN,CUS-039,customer,,
1,PAY-02CC5674,INV-2025-0821-833,3480,SGD,21/08/25,Bank Transfer,Cloud services for Jakarta Fintech,Sales Revenue,IN,CUS-018,customer,,
1,PAY-03B85AB5,REC-2025-0822-501,200,SGD,22/08/25,Bank Transfer,Monthly gas bill,Utilities,OUT,SUP-016,supplier,,
1,PAY-03270E9F,INV-2025-0823-769,10943894,IDR,23/08/25,Credit Card,Consulting services for Penang Foods,Sales Revenue,IN,CUS-017,customer,,
1,PAY-01E29200,INV-2025-0823-277,3359,SGD,23/08/25,Bank Transfer,Consulting services for KL Fintech,Sales Revenue,IN,CUS-048,customer,,
1,PAY-058C256D,REC-2025-0824-868,100,MYR,24/08/25,Bank Transfer,Internet service provider bill,Internet Expenses,OUT,SUP-027,supplier,,
1,PAY-01133C2A,REC-2025-0824-851,500,IDR,24/08/25,Cash,Digital ad campaign for Singapore market,Marketing Expenses,OUT,SUP-033,supplier,,
1,PAY-04178233,REC-2025-0824-711,800,SGD,24/08/25,Bank Transfer,Software licenses from Microsoft,Equipment Purchase,OUT,SUP-048,supplier,,
1,PAY-045F23C9,REC-2025-0825-639,200,SGD,25/08/25,Bank Transfer,Internet service provider bill,Utilities,OUT,SUP-019,supplier,,
1,PAY-05EAB761,REC-2025-0825-884,100,SGD,25/08/25,Bank Transfer,Monthly broadband subscription,Internet Expenses,OUT,SUP-028,supplier,,
1,PAY-033B91F0,REC-2025-0825-901,2736,SGD,25/08/25,Bank Transfer,Office space rental for August 2025,Office Rent,OUT,SUP-020,supplier,,
1,PAY-0469FE28,REC-2025-0826-755,500,SGD,26/08/25,Bank Transfer,Social media ads for Singapore market,Marketing Expenses,OUT,SUP-038,supplier,,
1,PAY-036AC826,REC-2025-0827-459,800,SGD,27/08/25,Bank Transfer,New laptops for development team,Equipment Purchase,OUT,SUP-019,supplier,,
1,PAY-0550EA9F,INV-2025-0828-578,534,SGD,28/08/25,Credit Card,Software license sold to Manila Corp,Sales Revenue,IN,CUS-050,customer,,
1,PAY-01586DCB,INV-2025-0829-477,3942,SGD,29/08/25,Bank Transfer,Software license sold to KL Tech,Sales Revenue,IN,CUS-016,customer,,
1,PAY-01361FF1,REC-2025-0829-534,863,SGD,29/08/25,Bank Transfer,Flight to Jakarta for business,Travel Expenses,OUT,SUP-021,supplier,,
1,PAY-03FD16E7,REC-2025-0829-412,251,SGD,29/08/25,Bank Transfer,Printer ink and paper,Office Supplies,OUT,SUP-039,supplier,,
1,PAY-05AF2EE4,REC-2025-0830-307,100,PHP,30/08/25,Bank Transfer,Monthly WiFi subscription,Internet Expenses,OUT,SUP-046,supplier,,
1,PAY-01BC0AC7,INV-2025-0830-192,12667124,IDR,30/08/25,Credit Card,Cloud services for KL Logistics,Sales Revenue,IN,CUS-050,customer,,
1,PAY-0201D75F,INV-2025-0830-128,543,SGD,30/08/25,Bank Transfer,Website development for Surabaya Startups,Sales Revenue,IN,CUS-030,customer,,
1,PAY-0468C0BA,REC-2025-0831-254,800,THB,31/08/25,Bank Transfer,Server equipment from IT Solutions,Equipment Purchase,OUT,SUP-024,supplier,,
1,PAY-00EAB648,INV-2025-0831-883,24959,THB,31/08/25,Cash,Consulting services for Johor Bahru Retailers,Sales Revenue,IN,CUS-039,customer,,
1,PAY-02D56A46,REC-2025-0831-327,200,SGD,31/08/25,Bank Transfer,Internet service provider bill,Utilities,OUT,SUP-042,supplier,,
1,PAY-026546A2,REC-2025-0901-414,1020,SGD,01/09/25,Bank Transfer,Hotel accommodation in Jakarta,Travel Expenses,OUT,SUP-044,supplier,,
1,PAY-02A92AF5,REC-2025-0901-746,200,SGD,01/09/25,Credit Card,Monthly electricity bill,Utilities,OUT,SUP-041,supplier,,
1,PAY-0188E7D7,REC-2025-0901-666,500,MYR,01/09/25,Credit Card,Social media ads for Singapore market,Marketing Expenses,OUT,SUP-022,supplier,,
1,PAY-04CA2A8E,REC-2025-0902-875,500,IDR,02/09/25,Bank Transfer,Google Ads campaign for product launch,Marketing Expenses,OUT,SUP-049,supplier,,
1,PAY-05837612,INV-2025-0902-823,15164,THB,02/09/25,Credit Card,Consulting services for Johor Bahru Retailers,Sales Revenue,IN,CUS-041,customer,,
1,PAY-0511523D,INV-2025-0902-165,15404,THB,02/09/25,Bank Transfer,Cloud services for Bangkok Retail,Sales Revenue,IN,CUS-044,customer,,
1,PAY-02BCC231,REC-2025-0903-325,500,SGD,03/09/25,Credit Card,Google Ads campaign for product launch,Marketing Expenses,OUT,SUP-029,supplier,,
1,PAY-05603CB4,INV-2025-0904-626,22338,THB,04/09/25,Bank Transfer,Website development for Penang Logistics,Sales Revenue,IN,CUS-021,customer,,
1,PAY-0445FA65,INV-2025-0904-229,2932,SGD,04/09/25,Bank Transfer,Consulting services for Ho Chi Minh Startups,Sales Revenue,IN,CUS-017,customer,,
1,PAY-01B5AF91,INV-2025-0905-595,12090,THB,05/09/25,Bank Transfer,Consulting services for Johor Bahru Retailers,Sales Revenue,IN,CUS-046,customer,,
1,PAY-01D3F06B,INV-2025-0905-632,3021,SGD,05/09/25,Bank Transfer,Consulting services for KL Fintech,Sales Revenue,IN,CUS-038,customer,,
1,PAY-0283B40B,INV-2025-0905-260,2163,MYR,05/09/25,Bank Transfer,Cloud services for KL Logistics,Sales Revenue,IN,CUS-032,customer,,
1,PAY-03EA5A86,REC-2025-0906-121,12490,THB,06/09/25,Credit Card,Legal review by Bangkok Law,Professional Services,OUT,SUP-046,supplier,,
1,PAY-03009B20,REC-2025-0906-114,3326,MYR,06/09/25,Bank Transfer,Business trip to Manila for client meeting,Travel Expenses,OUT,SUP-048,supplier,,
1,PAY-0106FAF1,INV-2025-0906-192,10034802,IDR,06/09/25,Bank Transfer,Consulting services for KL Fintech,Sales Revenue,IN,CUS-049,customer,,
1,PAY-05CD5FED,INV-2025-0907-437,3505,SGD,07/09/25,Bank Transfer,Software license sold to Manila Corp,Sales Revenue,IN,CUS-050,customer,,
1,PAY-05946904,INV-2025-0907-354,14564,THB,07/09/25,Bank Transfer,Software license sold to Singapore Client,Sales Revenue,IN,CUS-033,customer,,
1,PAY-05179BDC,REC-2025-0908-141,39710,PHP,08/09/25,Bank Transfer,Flight to KL for business,Travel Expenses,OUT,SUP-025,supplier,,
1,PAY-03117C96,INV-2025-0909-696,643,SGD,09/09/25,Credit Card,Website development for Cebu Tech,Sales Revenue,IN,CUS-021,customer,,
1,PAY-01839474,REC-2025-0909-509,15331,THB,09/09/25,Credit Card,Legal review by Bangkok Law,Professional Services,OUT,SUP-037,supplier,,
1,PAY-0263FB22,INV-2025-0910-367,493,SGD,10/09/25,Credit Card,Consulting services for Ho Chi Minh Startups,Sales Revenue,IN,CUS-022,customer,,
1,PAY-00CB477F,REC-2025-0910-999,800,MYR,10/09/25,Bank Transfer,New laptops for development team,Equipment Purchase,OUT,SUP-033,supplier,,
1,PAY-04F9C0BD,INV-2025-0911-404,9480949,IDR,11/09/25,Credit Card,Website development for Surabaya Startups,Sales Revenue,IN,CUS-042,customer,,
1,PAY-025BDF32,INV-2025-0911-335,244,SGD,11/09/25,Bank Transfer,Software license sold to Bangkok Biz,Sales Revenue,IN,CUS-023,customer,,
1,PAY-0561425E,INV-2025-0911-977,1520,SGD,11/09/25,Bank Transfer,Consulting services for KL Fintech,Sales Revenue,IN,CUS-040,customer,,
1,PAY-0338ED12,REC-2025-0912-746,100,SGD,12/09/25,Credit Card,Internet service provider bill,Internet Expenses,OUT,SUP-018,supplier,,
1,PAY-057E5CB4,INV-2025-0913-440,23233,THB,13/09/25,Bank Transfer,Software license sold to Manila Corp,Sales Revenue,IN,CUS-033,customer,,
1,PAY-052FC80B,INV-2025-0914-710,2584,MYR,14/09/25,Bank Transfer,Website development for Surabaya Startups,Sales Revenue,IN,CUS-046,customer,,
1,PAY-01A1CE97,REC-2025-0914-291,3557,SGD,14/09/25,Bank Transfer,Legal review by Bangkok Law,Professional Services,OUT,SUP-031,supplier,,
1,PAY-00A568F2,REC-2025-0914-682,500,SGD,14/09/25,Bank Transfer,Google Ads campaign for regional expansion,Marketing Expenses,OUT,SUP-020,supplier,,
